Year,Seasons,Temp_ave,Temp_min,Humidity,Pressure,City
Y2000,Spring,23.7,14.6,78,1005.1,Okinawa
Y2000,Summer,27.4,20.4,78,1000.8,Okinawa
Y2000,Autumn,23.2,13.9,73,1010.2,Okinawa
Y1990,Winter,2.5,-10.4,73,969.7,Nagano
Y1990,Spring,15.8,-0.9,67,963.6,Nagano
Y1990,Summer,24,12.5,71,963.1,Nagano
Y1990,Autumn,9.1,-6.4,75,968.7,Nagano
Y1995,Winter,0.9,-10,75,966.1,Nagano
Y1995,Spring,15.3,-2.8,65,962.7,Nagano
Y1995,Summer,22.6,9.7,76,963.6,Nagano
Y1995,Autumn,7.1,-10.3,73,967.1,Nagano
Y2000,Winter,0.9,-9.3,74,965.3,Nagano
Y2000,Spring,15.6,-0.8,67,961.7,Nagano
Y2000,Summer,24.1,10.7,71,963,Nagano
Y2000,Autumn,8.2,-7.1,76,969.5,Nagano
Y2005,Winter,0.4,-10.4,71,964.6,Nagano
Y2005,Spring,15.7,-2.3,60,962.2,Nagano
Y2005,Summer,23.3,12,72,963.3,Nagano
Y2005,Autumn,7,-10.4,73,966.5,Nagano
Y2005,Winter,17.2,9,67,1015.9,Okinawa
Y2005,Spring,24.1,13.8,76,1007.9,Okinawa
Y2005,Summer,28.8,23.8,73,1006.4,Okinawa
Y2005,Autumn,22.1,10,65,1014.3,Okinawa
Y2005,Winter,7.1,-0.8,47,1009.7,Tokyo
Y2005,Spring,18.7,4.6,61,1006.8,Tokyo
Y2005,Summer,26.1,16.9,69,1006.7,Tokyo
Y2005,Autumn,13,-0.8,53,1010.9,Tokyo
Y2005,Winter,7.4,-0.8,61,1018.1,Fukuoka
Y2005,Spring,20.3,7.7,62,1009.6,Fukuoka
Y2005,Summer,27.3,18.3,71,1008.5,Fukuoka
Y2005,Autumn,13.6,-1.7,62,1018,Fukuoka
Y2005,Winter,-2.4,-11.7,69,1007.7,Sapporo
Y2005,Spring,11.7,-3.8,66,1006.6,Sapporo
Y2005,Summer,20.8,10.6,72,1008,Sapporo
Y2005,Autumn,5.4,-9.8,65,1009.2,Sapporo
Y2010,Winter,1.9,-9.7,75,966.6,Nagano
Y2010,Spring,15,-2,66,964.8,Nagano
Y2010,Summer,24.6,9.4,74,964.9,Nagano
Y2010,Autumn,8.8,-3.8,75,965.7,Nagano
Y2010,Winter,18.3,9.1,72,1013.4,Okinawa
Y2010,Spring,23.9,15.1,79,1006.5,Okinawa
Y2010,Summer,28.5,23.4,78,1005.1,Okinawa
Y2010,Autumn,21.7,10.3,68,1009.6,Okinawa
Y2010,Winter,7.5,-0.4,54,1011.8,Tokyo
Y2010,Spring,18.3,1.4,63,1009.3,Tokyo
Y2010,Summer,27.6,13.9,68,1008,Tokyo
Y2010,Autumn,14.1,2.1,58,1010,Tokyo
Y2010,Winter,9,-1.3,62,1018.4,Fukuoka
Y2010,Spring,18.8,6.5,66,1011.4,Fukuoka
Y2010,Summer,28.1,17.8,68,1009.9,Fukuoka
Y2010,Autumn,14,0.1,63,1015.8,Fukuoka
Y2010,Winter,-1.8,-12.6,66,1010.4,Sapporo
Y2010,Spring,12.3,-0.8,67,1009.6,Sapporo
Y2010,Summer,22.3,8.5,72,1007.9,Sapporo
Y2010,Autumn,6.2,-8.2,69,1010,Sapporo
