Date,temp,vap_pressure,atm_pressure,humidity,temp_max,temp_min,
2010/8/3,27.6,23.8,940.6,66,33.4,22.6,
2010/8/4,28.3,21.7,945.4,58,34.7,22,
2010/8/5,29.1,22.6,949.7,58,35.7,22.6,
2010/8/6,25.9,24.3,951,73,33.5,23.1,
2010/8/7,26.3,21.5,948.8,65,32.6,21.3,
2010/8/8,25,21.1,947.2,68,29.5,21.9,
2010/8/9,24.8,22.4,946.5,73,30.1,21.4,
2010/8/10,24.4,24.2,946.5,80,30,21.3,
2010/8/11,25.9,24,943.1,73,31.4,22.1,
2010/8/12,25.8,22.9,936.3,69,29.4,23.5,
2010/8/13,24.4,22.8,939.9,75,29.1,21.4,
2010/8/14,25.9,23.8,940.8,72,29.8,23,
2010/8/15,27.5,23.9,942.6,65,31.7,23.4,
2010/8/16,27.8,24,943,65,34.1,22.2,
2010/8/17,27.3,23.9,944.3,67,34.3,21.7,
2010/8/18,28.1,23.8,948.1,64,33.8,23.2,
2010/8/19,27.6,25.2,951.7,70,34.9,24.1,
2010/8/20,27.5,24.8,950.7,69,34.1,23.3,
2010/8/21,27.5,23.5,948.5,66,34.1,22.6,
2010/8/22,27.6,22.5,946.5,63,34.6,21.9,
2010/8/23,27.8,21.7,946.2,60,35.1,22.1,
2010/8/24,27.7,23,946.1,64,35.3,23,
2010/8/25,26.4,22.7,947,68,34.8,21.8,
2010/8/26,25.9,22.4,948.8,69,33.8,21.2,
2010/8/27,26.5,21.5,950.3,64,34.1,21.1,
2010/8/28,26.8,23.1,950,68,34.5,22.5,
2010/8/29,26.7,20.9,947.7,63,34.9,20.8,
2010/8/30,27.1,21.4,944.9,63,35.2,20.9,
2010/8/31,26.8,23.6,946.5,69,35.4,22.9,
2010/9/1,26.2,24.2,950.2,72,32.4,21.4,
2010/9/2,27.7,21.1,949.8,59,34.7,22,
2010/9/3,27.3,21.4,947,61,34.1,22.1,
2010/9/4,27,21.8,946.7,63,33.5,22.7,
2010/9/5,26.8,22.5,946.6,66,36.1,22.1,
2010/9/6,27.2,22,944.5,63,35,22.1,
2010/9/7,26.7,20.1,941.1,59,34.3,21.9,
2010/9/8,22.5,23.7,940.4,87,24.1,21.8,
2010/9/9,24,20,943.6,69,30,20.4,
2010/9/10,24.1,20.3,943.3,70,30.7,19.9,
2010/9/11,25.2,21.4,943.1,69,33.3,18.8,
2010/9/12,27,21.9,940.3,61,31,22.4,
2010/9/13,24.5,19.4,938,65,31.7,18.9,
2010/9/14,21.3,16.5,942,66,29.1,15.1,
2010/9/15,19.8,18.5,945.2,80,26,17,
2010/9/16,17.4,17.9,941.2,91,18.3,15.7,
2010/9/17,19.8,16.5,940.7,73,27.3,14,
2010/9/18,21.4,16.5,944.1,66,27.6,16.8,
2010/9/19,21.5,17.6,943.2,70,28.2,16.4,
2010/9/20,20.2,17.7,944,75,26.5,17.1,
2010/9/21,22.7,20.4,942.3,75,28.1,18.2,
2010/9/22,24.6,20.4,939,67,30.2,19.3,
2010/9/23,15.4,15.3,940.4,87,21.8,13.1,
2010/9/24,14.4,12.1,944.9,74,16.4,12.7,
2010/9/25,14.9,10.3,941.2,63,21.6,9.4,
2010/9/26,14.5,11.7,949.4,72,22,7.3,
2010/9/27,15.3,14.4,949.1,83,19.7,13.3,
2010/9/28,16.3,16,941.7,87,20.7,13.8,
2010/9/29,16.5,12.5,948.2,68,21.2,13.4,
2010/9/30,15.6,14.7,949.6,83,19.3,13.8,
2010/10/1,17.6,14.5,950.4,74,24.1,14.3,
2010/10/2,18.3,14.8,950.8,72,24.8,13.3,
2010/10/3,19.3,14.7,945.5,67,25.2,13.7,
2010/10/4,17.6,17.1,939,84,22.4,13.8,
2010/10/5,15.6,12.6,940.7,72,22.3,10.4,
2010/10/6,16.7,13,946.1,70,22.7,12.4,
2010/10/7,17.6,13.8,950.6,70,23.9,14.4,
2010/10/8,17.4,13.9,951.2,71,23.4,12.5,
2010/10/9,14.6,14.2,945.4,85,16.5,13.4,
2010/10/10,17.8,16.2,938.6,81,25,14,
2010/10/11,17.4,14.7,944.9,76,24.1,11.3,
2010/10/12,18.9,15.6,944.6,73,26.1,14.1,
2010/10/13,18.5,14.6,942.8,70,24.8,15.9,
2010/10/14,17.6,13.9,940.9,70,22.6,14.8,
2010/10/15,18.4,12.2,939.7,59,24.3,12.8,
2010/10/16,14.6,10.8,946.9,67,22.1,9,
2010/10/17,13.1,10.6,951.2,72,18.1,9.7,
2010/10/18,13.9,10.6,953.8,69,19.2,9.2,
2010/10/19,14.2,11.3,954.5,71,19.4,11.7,
2010/10/20,14.3,12.8,950.4,79,17.7,11.4,
2010/10/21,14.3,13.5,946.1,83,16.4,13.1,
2010/10/22,14.3,11.9,949.2,74,19.1,10.8,
2010/10/23,14.1,10.8,951.3,69,20.5,10.2,
2010/10/24,12.6,11.6,946.7,80,17.3,9.3,
2010/10/25,14.9,14.9,936.6,88,18.6,12.3,
2010/10/26,9.6,9.3,941.2,76,14,4.6,
2010/10/27,5.6,6.1,952.5,69,10.6,2,
2010/10/28,5.2,8,948.7,90,6.7,3.2,
2010/10/29,9.7,8.7,950.9,74,13.9,6.6,
2010/10/30,9.4,10,951,84,11.8,7.7,
2010/10/31,11.6,11.9,947.4,87,14.4,8.2,
2010/11/1,13,10.5,935.5,71,19.6,7.5,
2010/11/2,9.3,6.9,939.2,60,14.7,4.3,
2010/11/3,6.7,6.4,947.5,68,13.4,1.3,
2010/11/4,5.4,5.8,950.8,68,14.8,-1,
2010/11/5,6.9,6.8,948.6,71,15.8,-0.2,
2010/11/6,7.4,6.9,950.6,71,16.3,0.7,
2010/11/7,7.2,6.8,947.7,71,16.8,0.9,
2010/11/8,10.9,8.2,940.2,65,19.4,1.8,
2010/11/9,10.7,6.3,935,49,13.9,7.1,
2010/11/10,7.9,5.5,941.5,53,13,1.9,
2010/11/11,5.4,5.9,948.2,68,13.8,-0.6,
2010/11/12,11.2,6.9,948.3,53,16.8,1.8,
2010/11/13,8.4,7.6,956.1,70,13.8,3.9,
2010/11/14,9.3,8.3,950.9,72,15.9,5.8,
2010/11/15,5.3,6.8,947.2,75,7.5,1.4,
2010/11/16,4.1,5.3,950.5,66,9.2,0.6,
2010/11/17,3.7,5.6,948.1,72,10.8,-1.6,
2010/11/18,4.5,5.4,948.8,66,10.9,0,
2010/11/19,4.1,4.8,949.7,62,13.1,-3.2,
2010/11/20,5.7,5.9,947,66,15.1,-0.4,
2010/11/21,6.1,6.2,946.1,69,15.9,-1.4,
2010/11/22,5.9,8.3,942.7,88,7.5,1.7,
2010/11/23,7.4,7.8,942.6,76,11.3,4.8,
2010/11/24,5.2,5.8,947.7,66,9.5,0.9,
2010/11/25,7.3,6.7,944.6,68,15.4,-1.2,
2010/11/26,8.9,7.3,940.8,65,14,4.7,
2010/11/27,7.2,5.8,942.3,59,12.2,3.2,
2010/11/28,8.1,5.7,943.1,54,13.8,1.7,
2010/11/29,4.7,4.8,947,57,10.1,0.4,
2010/11/30,5,4.6,949.1,57,13.1,-2.4,
2010/12/1,7.3,5.3,949.5,54,14.7,0.7,
2010/12/2,7.4,6.3,950.3,63,16.1,-1.8,
2010/12/3,8.2,8.6,932.9,78,16,2.8,
2010/12/4,6.2,4.8,941,53,12.1,0.8,
2010/12/5,3.6,5.6,945.8,73,11.8,-2.4,
2010/12/6,4.5,5.9,941.3,72,14.3,-2,
2010/12/7,4.9,6.4,935.7,75,8.4,2.2,
2010/12/8,2.3,5,934.3,70,7.1,-1.3,
2010/12/9,3.3,5,931.9,67,8.3,-1.3,
2010/12/10,1.7,5.5,943.2,80,6.5,-2.1,
2010/12/11,8,6.5,941.1,61,12.7,3.6,
2010/12/12,3.9,5.4,949.3,69,8.2,0,
2010/12/13,2.8,6.5,946.4,85,11.6,0.1,
2010/12/14,7.8,8.2,934.7,78,11.6,5.4,
2010/12/15,4.5,4.2,934.5,51,8.3,-1.3,
2010/12/16,1.1,4,935.6,62,5.5,-2.7,
2010/12/17,1.3,3.7,937.6,57,6.9,-3.9,
2010/12/18,3,4.4,943.7,59,8.4,-1.5,
2010/12/19,3.9,4.5,949.7,58,11.3,-3.4,
2010/12/20,8.2,5.8,943.9,54,14.2,2,
2010/12/21,4.1,6,944.2,74,8.3,-1.2,
2010/12/22,3.8,6.7,932.4,83,9.5,0.3,
2010/12/23,3.1,5.5,937.2,74,10,-1.9,
2010/12/24,2.6,4.5,933.4,62,7.1,-2.9,
2010/12/25,0,3,928.4,50,2.9,-3.1,
2010/12/26,-0.1,2.9,931,48,3.1,-2.6,
2010/12/27,1.3,3,933.3,45,5.1,-1.4,
2010/12/28,3.8,4.3,933.8,54,8.4,-1.8,
2010/12/29,0.9,5.3,934.9,81,4.3,-1,
2010/12/30,0.8,4.2,931.8,66,4.9,-3.7,
2010/12/31,-0.1,2.6,922.6,43,4.4,-2.8,
,,,,,,,
,,,,,,,
